,mid,Recency,Frequency,Engagement,R_Quartile,F_Quartile,E_Quartile,RFEScore,Segment
5875,607842,0,37,6.4,4,1,2,412,others
5876,607840,0,136,7.4,4,3,2,432,others
5877,606950,2,12,6.4,2,1,2,212,Almost lost user
5878,296017,4,19,5.4,1,1,1,111,Lost user
5879,4673868,3,5,5.4,1,1,1,111,Lost user
5880,604795,0,100,7.4,4,3,2,432,others
5881,4673897,3,6,5.0,1,1,1,111,Lost user
5882,603222,0,192,6.2,4,4,2,442,Loyal user
5883,4667228,5,18,5.0,1,1,1,111,Lost user
5884,4674124,1,15,5.2,2,1,1,211,Almost lost user
5885,297483,0,39,6.6,4,1,2,412,others
5886,1674867,0,102,8.0,4,3,2,432,others
5887,599727,0,90,13.0,4,3,3,433,others
5888,297793,0,26,9.4,4,1,3,413,others
5889,599321,2,17,5.4,2,1,1,211,Almost lost user
5890,599234,2,137,9.0,2,3,2,232,Almost lost user
5891,1682658,0,217,20.0,4,4,4,444,Best user
5892,1684609,6,8,5.0,1,1,1,111,Lost user
5893,4674419,3,12,5.0,1,1,1,111,Lost user
5894,609138,0,38,6.0,4,1,2,412,others
5895,610241,0,19,5.2,4,1,1,411,others
5896,1568367,0,49,5.0,4,2,1,421,others
5897,613744,0,87,9.600000000000001,4,3,3,433,others
5898,290208,0,57,5.2,4,2,1,421,others
5899,636433,0,357,19.0,4,4,4,444,Best user
5900,290391,1,113,9.600000000000001,2,3,3,233,Almost lost user
5901,632397,0,28,5.0,4,1,1,411,others
5902,631610,2,22,7.800000000000001,2,1,2,212,Almost lost user
5903,1591442,0,71,12.4,4,2,3,423,others
5904,628356,1,70,9.600000000000001,2,2,3,223,Almost lost user
5905,1596675,0,82,9.4,4,3,3,433,others
5906,628243,0,74,14.0,4,2,3,423,others
5907,627110,0,176,19.4,4,4,4,444,Best user
5908,626925,2,16,5.6,2,1,1,211,Almost lost user
5909,626894,0,32,5.4,4,1,1,411,others
5910,1604832,6,9,5.0,1,1,1,111,Lost user
5911,223545,1,42,5.2,2,2,1,221,Almost lost user
